;APP_Libelle_etablissement;SIRET;Adresse_2_UA;Code_postal;Libelle_commune;Numero_inspection;Date_inspection;APP_Libelle_activite_etablissement;Synthese_eval_sanit;Agrement;geores;filtre;ods_type_activite
17901;Traiteur Fiona;P00012776001;hahake;98600;Uvea;21-068703-1;2021-09-01 02:00:00+02:00;Traiteur;Satisfaisant;;;Traiteur;Autres
17904;FOLAUHAVILI;P00012777001;BP 429;98600;Uvea;21-056318-1;2021-09-01 02:00:00+02:00;Traiteur;Satisfaisant;;-13.287346,-176.181433;Traiteur;Autres
18032;Délice de Halamaitai;P00012923001;;98600;Uvea;21-056317-1;2021-08-31 02:00:00+02:00;Traiteur;Satisfaisant;;-13.287092,-176.178601;Traiteur;Autres
19483;Les Envies de Marc;P00000868001;6 rue d'Oeuilly;02160;Bourg-et-Comin;21-010493-1;2021-02-10 01:00:00+01:00;Restaurant;A corriger de manière urgente;;49.396894,3.657906;Restaurant;Autres
19665;CLUZEAU Louis;F00000033001;Rafaillac;24390;Badefols-d'Ans;21-032310-1;2021-03-16 01:00:00+01:00;Chaîne d'abattage de volaille/lagomorphe/petit gibier;Très satisfaisant;;45.235296,1.208892;;Abattoirs
20151;Cantine scolaire;F00000039002;;43800;Malrevers;21-027195-1;2021-04-02 02:00:00+02:00;Restauration collective;Satisfaisant;;45.098431,3.965011;Restauration collective;Autres
20332;Maloccino;P00004116001;RT1,;98600;Uvea;21-094352-1;2021-11-23 01:00:00+01:00;Restaurant;Très satisfaisant;;-13.278792,-176.172937;Restaurant;Autres
20406;La Petite Maison Bleue;F00000040001;;43700;Brives-Charensac;21-009005-1;2021-02-04 01:00:00+01:00;Restauration collective;Satisfaisant;;45.044491,3.922626;Restauration collective;Autres
20615;YOU YOU;P00004117001;Mala'efo'ou;98600;Uvea;21-047844-1;2021-06-18 02:00:00+02:00;Restaurant;Satisfaisant;;-13.348256,-176.203398;Restaurant;Autres
21386;CHEZ ZENA;P00017034001;1 RUE DANCOURT;75018;Paris 18e  Arrondissement;21-093098-1;2021-11-17 01:00:00+01:00;Restaurant;Satisfaisant;;48.882705,2.341793;Restaurant;Autres
21461;SANSIG MARCEL;P00004483001;Rue Odilien Picard;97430;Le Tampon;21-029226-1;2021-04-09 02:00:00+02:00;Producteur fermier;A corriger de manière urgente;;-21.248415,55.529406;Producteur fermier;Autres
22400;Restaurant LE PARADIS;P00001765001;LIKU;98600;Uvea;21-015734-1;2021-02-23 01:00:00+01:00;Restaurant;Satisfaisant;;-13.265867,-176.162732;Restaurant;Autres
22437;GENERAL IMPORT;F00000020001;AVENUE MATA UTU;98600;Uvea;21-055031-1;2021-07-09 02:00:00+02:00;Transformation de produits carnés;Satisfaisant;;-13.274355,-176.196422;;Viandes et produits carnés
